Title,Upload Date,Module,Authors,Print Publication Date,DOI,ISBN,Sub-discipline,LINK,Site Module Name
Poverty: A Very Short Introduction,Jul-18,Social Sciences,Jefferson,2018,10.1093/actrade/9780198716471.001.0001,9780198716471,"Social Sciences, Economics, Health, Education, and Welfare, Welfare and Poverty, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198716471.001.0001/actrade-9780198716471,VSIO_SUBJECTS:SOC00010
Game Theory: A Very Short Introduction,Sep-13,Social Sciences,Binmore,2007,10.1093/actrade/9780199218462.001.0001,9780199218462,"Social Sciences, Economics, Econometrics and Mathematical Economics, Game Theory and Bargaining Theory, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199218462.001.0001/actrade-9780199218462,VSIO_SUBJECTS:SOC00010
Projects: A Very Short Introduction,Oct-17,Social Sciences,Davies,2017,10.1093/actrade/9780198727668.001.0001,9780198727668,"Social Sciences, Business and Management, Management and Management Techniques, Project Management, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198727668.001.0001/actrade-9780198727668,VSIO_SUBJECTS:SOC00010
Multiculturalism: A Very Short Introduction,Sep-13,Social Sciences,Rattansi,2011,10.1093/actrade/9780199546039.001.0001,9780199546039,"null, Social Sciences, Sociology, Social Movements and Social Change, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199546039.001.0001/actrade-9780199546039,VSIO_SUBJECTS:SOC00010
Northern Ireland: A Very Short Introduction,Sep-13,Social Sciences,Mulholland,2003,10.1093/actrade/9780192801562.001.0001,9780192801562,"null, Social Sciences, Human Geography, Political Geography, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801562.001.0001/actrade-9780192801562,VSIO_SUBJECTS:SOC00010
International Relations: A Very Short Introduction,Apr-20,Social Sciences,Reus-Smit,2020,10.1093/actrade/9780198850212.001.0001,9780198850212,"null, Social Sciences, Politics, International Relations, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198850212.001.0001/actrade-9780198850212,VSIO_SUBJECTS:SOC00010
Racism: A Very Short Introduction,Sep-13,Social Sciences,Rattansi,2007,10.1093/actrade/9780192805904.001.0001,9780192805904,"null, Social Sciences, Sociology, Race and Ethnicity, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192805904.001.0001/actrade-9780192805904,VSIO_SUBJECTS:SOC00010
Northern Ireland: A Very Short Introduction,Mar-20,Social Sciences,Mulholland,2020,10.1093/actrade/9780198825005.001.0001,9780198825005,"null, Social Sciences, Human Geography, Political Geography, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198825005.001.0001/actrade-9780198825005,VSIO_SUBJECTS:SOC00010
Racism: A Very Short Introduction,Mar-20,Social Sciences,Rattansi,2020,10.1093/actrade/9780198834793.001.0001,9780198834793,"null, Social Sciences, Sociology, Race and Ethnicity, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198834793.001.0001/actrade-9780198834793,VSIO_SUBJECTS:SOC00010
Globalization: A Very Short Introduction,Sep-13,Social Sciences,Steger,2013,10.1093/actrade/9780199662661.001.0001,9780199662661,"null, Social Sciences, Economics, International Economics, International Relations and International Political Economy",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199662661.001.0001/actrade-9780199662661,VSIO_SUBJECTS:SOC00010
British Politics: A Very Short Introduction,Jun-20,Social Sciences,Wright,2020,10.1093/actrade/9780198827320.001.0001,9780198827320,"null, Social Sciences, Politics, UK Politics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198827320.001.0001/actrade-9780198827320,VSIO_SUBJECTS:SOC00010
